id,read,date added,name,author,type,link,rating,notes,checked out,student,export_id
but-what-is-a-neural-network-deep-learning-chapter-1,FALSE,11/7/2024,But what is a neural network? | Deep learning chapter 1,3b1b,video,https://www.youtube.com/watch?v=aircAruvnKk,,,FALSE,,lec-learning
gradient-descent-how-neural-networks-learn-deep-learning-chapter-2,FALSE,11/7/2024,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",3b1b,video,https://www.youtube.com/watch?v=IHZwWFHWa-w,,,FALSE,,lec-learning
backpropagation-intuitively-deep-learning-chapter-3,FALSE,11/7/2024,"Backpropagation, intuitively | Deep Learning Chapter 3",3b1b,video,https://www.youtube.com/watch?v=Ilg3gGewQ5U,,,FALSE,,lec-learning
backpropagation-calculus-deep-learning-chapter-4,FALSE,11/7/2024,Backpropagation calculus | Deep Learning Chapter 4,3b1b,video,https://www.youtube.com/watch?v=tIeHLnjs5U8,,,FALSE,,lec-learning
large-language-models-explained-briefly,FALSE,11/14/2024,Large Language Models explained briefly,3b1b,video,https://www.youtube.com/watch?v=LPZh9BOjkQs&list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi&index=5,,,FALSE,,lec-learning
transformers-the-tech-behind-llms-deep-learning-chapter-5,FALSE,11/14/2024,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",3b1b,video,https://www.youtube.com/watch?v=wjZofJX0v4M,,,FALSE,,lec-learning
attention-in-transformers-stepbystep-deep-learning-chapter-6,FALSE,11/14/2024,"Attention in transformers, step-by-step | Deep Learning Chapter 6",3b1b,video,https://www.youtube.com/watch?v=eMlx5fFNoYc,,,FALSE,,lec-learning
minecrafts-smartest-system-is-almost-completely-untapped,FALSE,9/14/2025,Minecraft’s Smartest System Is Almost Completely Untapped,,video,https://youtu.be/Zg0Cxn8AVZA?si=kR2Nk9tu2LwJN2zM,,,FALSE,,lec-learning
prompt-engineering-for-generative-ai-futureproof-inputs-for-reliable-ai-outputs,FALSE,10/19/2025,Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs,,book,https://www.amazon.com/Prompt-Engineering-Generative-AI-Future-Proof/dp/109815343X/ref=sr_1_4?crid=23TXWI265RVJN&dib=eyJ2IjoiMSJ9.ZUPfhUjEtlzJTdR_y8EgsLgPlXKmk4UDVS-EMrnzvcAdxozBHzNsGTOzHis3Py5zFo8JMmNg_5iwxGqMPPXjS-PiplaYkwxIsPw7ZhZMIfPLR_6881G4ET_duW5BOa7WdZwOWR_Va098nbeLBAoy7zS3R7XATtX7X1z93pexkM7x-wVXcQurkafSaPw5mTw5ZGhVRBn0Ta3OgzmOcsSaDIIkcnzoJlnME-oolXBCXDEi16KkStpqpEApjgItm8nwvwU70WgZRenMuc6NQ5gxuTnbew2CC3wygyOa66MOcbE.NOk7MQ-RycOifbEuLy_pIWvpcsLOoE_RixKlme54xfo&dib_tag=se&keywords=prompt+engineering&qid=1761058129&s=books&sprefix=Prompt+%2Cstripbooks%2C133&sr=1-4,,,FALSE,,lec-learning
the-scaling-era-an-oral-history-of-ai-20192025,FALSE,10/19/2025,"The Scaling Era: An Oral History of AI, 2019–2025",Dwarkesh Patel,book,https://www.amazon.com/Scaling-Era-Oral-History-2019-2025/dp/1953953557,,,FALSE,,lec-learning
andrej-karpathy-agi-is-still-a-decade-away,FALSE,10/19/2025,Andrej Karpathy — AGI is still a decade away,"Andrej Karpathy, Dwarkesh Patel",podcast,https://www.youtube.com/watch?v=lXUZvyajciY,,,FALSE,,lec-learning
leopold-aschenbrenner-2027-agi-chinaus-superintelligence-race-the-return-of-history,FALSE,10/20/2025,"Leopold Aschenbrenner — 2027 AGI, China/US super-intelligence race, & the return of history","Leopold Aschenbrenner, Dwarkesh Patel",podcast,https://www.youtube.com/watch?v=zdbVtZIn9IM,,,FALSE,,lec-learning
gwern-anonymous-writer-who-predicted-ai-trajectory-on-12kyear-salary,FALSE,10/20/2025,Gwern — Anonymous writer who predicted AI trajectory on $12K/year salary,"Gwern, Dwarkesh Patel",podcast,https://youtu.be/a42key59cZQ?si=xstXfMDvGRF1RUfI,,,FALSE,,lec-learning
statquest-principal-component-analysis-pca-stepbystep,FALSE,10/20/2025,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",Josh Starmer,video,https://youtu.be/FgakZw6K1QQ?si=8C_CXN1Z88ROWVcE,,,FALSE,,lec-learning
richard-sutton-father-of-rl-thinks-llms-are-a-dead-end,FALSE,10/20/2025,Richard Sutton – Father of RL thinks LLMs are a dead end,"Richard Sutton, Dwarkesh Patel",podcast,https://www.youtube.com/watch?v=21EYKqUsPfg,,,FALSE,,lec-learning
scaling-laws-for-neural-language-models,FALSE,10/20/2025,Scaling Laws for Neural Language Models,,paper,https://arxiv.org/pdf/2001.08361,,,FALSE,,lec-learning
a-visual-guide-to-mixture-of-experts-moe-in-llms,FALSE,10/21/2025,A Visual Guide to Mixture of Experts (MoE) in LLMs,,video,https://www.youtube.com/watch?v=sOPDGQjFcuM,,,FALSE,,lec-learning
how-might-llms-store-facts-deep-learning-chapter-7,FALSE,10/21/2025,How might LLMs store facts | Deep Learning Chapter 7,3b1b,video,https://www.youtube.com/watch?v=9-Jl0dxWQs8,,,FALSE,,lec-learning
the-bitter-lesson,FALSE,10/21/2025,The Bitter Lesson,Richard Sutton,essay,https://www.cs.utexas.edu/~eunsol/courses/data/bitter_lesson.pdf,,,FALSE,,lec-learning
what-the-books-get-wrong-about-ai-double-descent,FALSE,10/22/2025,What the Books Get Wrong about AI [Double Descent],WelchLabs,video,https://www.youtube.com/watch?v=z64a7USuGX0,,,FALSE,,lec-learning
at-amazons-biggest-data-center-everything-is-supersized-for-ai,FALSE,10/24/2025,"At Amazon’s Biggest Data Center, Everything Is Supersized for A.I.",The New York Times,article,https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,,,FALSE,,lec-learning
ai-data-center-build-out-creates-unprecedented-risk-to-hoosiers,FALSE,10/24/2025,AI Data Center Build Out Creates Unprecedented Risk to Hoosiers,Citizens Action Coalition,article,https://www.citact.org/ai-data-centers,,,FALSE,,lec-learning
the-hidden-cost-of-data-centers-how-amazons-largest-data-center-is-draining-indianas-water-resources,FALSE,10/24/2025,The Hidden Cost of Data Centers: How Amazon’s Largest Data Center Is Draining Indiana’s Water Resources,Ethan Carter,article,https://www.remio.ai/post/the-hidden-cost-of-data-centers-how-amazon-s-largest-data-center-is-draining-indiana-s-water-resour,,,FALSE,,lec-learning
whats-the-difference-between-matrices-and-tensors,FALSE,11/5/2025,What's The Difference Between Matrices And Tensors?,Dr. Simulate,video,https://www.youtube.com/watch?v=1GwAEnegaRs,,,FALSE,,lec-learning
if-anyone-builds-it-everyone-dies,FALSE,11/17/2025,"If Anyone Builds It, Everyone Dies.","Eliezer Yudkowsky, Nathan Soares",book,https://www.amazon.com/Anyone-Builds-Everyone-Dies-Superhuman/dp/0316595640,,,FALSE,,lec-learning
ilya-sutskever-were-moving-from-the-age-of-scaling-to-the-age-of-research,FALSE,12/14/2025,Ilya Sutskever – We're moving from the age of scaling to the age of research,"Ilya Sutskever, Dwarkesh Patel",video,https://www.youtube.com/watch?v=aR20FWCCjAs,,,FALSE,,lec-learning
the-thinking-game,FALSE,12/14/2025,The Thinking Game,Google Deepmind,video,https://www.youtube.com/watch?v=d95J8yzvjbQ,,,FALSE,,lec-learning
chainofthought-prompting-elicits-reasoningin-large-language-models,FALSE,12/18/2025,"Chain-of-Thought Prompting Elicits Reasoning
in Large Language Models",Wei et al.,paper,https://arxiv.org/pdf/2201.11903,,,FALSE,,lec-learning
ai-slop-beyond-the-black-void,FALSE,12/20/2025,A.I. Slop - Beyond the Black Void,RedLetterMedia,video,https://www.youtube.com/watch?v=IPitD1eYLiM,,,FALSE,,lec-learning
my-experience-with-claude-code-after-2-weeks-of-adventures,FALSE,12/29/2025,My Experience With Claude Code After 2 Weeks of Adventures,sankalp,article,https://sankalp.bearblog.dev/my-claude-code-experience-after-2-weeks-of-usage/,,,FALSE,,lec-learning
a-guide-to-claude-code-20-and-getting-better-at-using-coding-agents,FALSE,12/29/2025,A Guide to Claude Code 2.0 and getting better at using coding agents,sankalp,article,https://sankalp.bearblog.dev/my-experience-with-claude-code-20-and-how-to-get-better-at-using-coding-agents/,,,FALSE,,lec-learning
tool-calling,FALSE,12/29/2025,Tool Calling,Cursor,article,https://cursor.com/learn/tool-calling,,,FALSE,,lec-learning
alphago-the-movie,FALSE,1/21/2026,AlphaGo - The Movie,Deepmind,,https://www.youtube.com/watch?v=WXuK6gekU1Y,,,FALSE,,lec-learning
the-scaling-era-an-oral-history-of-ai-20192025,TRUE,10/15/2025,"The Scaling Era: An Oral History of AI, 2019–2025","Dwarkesh Patel, Gavin Leech",physical,https://www.amazon.com/Scaling-Era-Oral-History-2019-2025/dp/1953953557,,,FALSE,,lec-library
prompt-engineering-for-generative-ai-futureproof-inputs-for-reliable-ai-outputs,TRUE,,Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs,"James Phoenix, Mike Taylor",physical,https://www.amazon.com/Prompt-Engineering-Generative-AI-Future-Proof/dp/109815343X/,,,FALSE,,lec-library
artificial-intelligence-for-babies-baby-university,TRUE,,Artificial Intelligence for Babies (Baby University),Chris Ferrie,physical,https://www.amazon.com/dp/1464221456?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
abcs-of-artificial-intelligence-baby-university,TRUE,,ABCs of Artificial Intelligence (Baby University),Chris Ferrie,physical,https://www.amazon.com/dp/1464221480?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
neural-networks-for-babies,TRUE,,Neural Networks for Babies,"Chris Ferrie, Sarah Kaiser",physical,https://www.amazon.com/dp/1492671207?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
a-mind-at-play-how-claude-shannon-invented-the-information-age,FALSE,,A Mind at Play: How Claude Shannon Invented the Information Age,"Jimmy Soni, Rob Goodman",physical,https://www.amazon.com/dp/147676669X?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
norbert-wienera-life-in-cybernetics-exprodigy-my-childhood-and-youth-and-i-am-a-mathematician-the-later-life-of-a-prodigy-mit-press,FALSE,,Norbert Wiener-A Life in Cybernetics: Ex-Prodigy: My Childhood and Youth and I Am a Mathematician: The Later Life of a Prodigy (Mit Press),Norbert Wiener,physical,https://www.amazon.com/dp/0262535440?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
machines-who-think-a-personal-inquiry-into-the-history-and-prospects-of-artificial-intelligence,FALSE,,Machines Who Think: A Personal Inquiry into the History and Prospects of Artificial Intelligence,Pamela McCorduck,physical,https://www.amazon.com/dp/1568812051?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
bayesian-probability-for-babies,TRUE,,Bayesian Probability for Babies,Chris Ferrie,physical,https://www.amazon.com/dp/1492680796?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
the-costs-of-connection-how-data-is-colonizing-human-life-and-appropriating-it-for-capitalism-culture-and-economic-life,FALSE,,The Costs of Connection: How Data Is Colonizing Human Life and Appropriating It for Capitalism (Culture and Economic Life),,physical,https://www.amazon.com/dp/150360974X?ref=ppx_yo2ov_dt_b_fed_asin_title,,,TRUE,Frazier Dougherty,lec-library
the-hundredpage-machine-learning-book,FALSE,,The Hundred-Page Machine Learning Book,Andriy Burkov,physical,https://www.amazon.com/dp/1777005477?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
the-statquest-illustrated-guide-to-machine-learning,TRUE,,The StatQuest Illustrated Guide To Machine Learning,Josh Starmer,physical,https://www.amazon.com/dp/B0BLM4TLPY?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
digital-signal-processing-for-complete-idiots-electrical-engineering-for-complete-idiots,FALSE,,Digital Signal Processing for Complete Idiots (Electrical Engineering for Complete Idiots),David Smith,physical,https://www.amazon.com/dp/1086340353?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
matrices-and-linear-transformations-second-edition,FALSE,,Matrices and Linear Transformations: Second Edition,Charles G. Cullen,physical,https://www.amazon.com/dp/0486663280?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
vector-a-surprising-story-of-space-time-and-mathematical-transformation,FALSE,,"Vector: A Surprising Story of Space, Time, and Mathematical Transformation",Robyn Arianrhod,physical,https://www.amazon.com/dp/0226821102?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
the-master-algorithm-how-the-quest-for-the-ultimate-learning-machine-will-remake-our-world,FALSE,,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,physical,https://www.amazon.com/dp/0465094279?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
artificial-intelligence-the-very-idea,FALSE,,Artificial Intelligence: The Very Idea,John Haugeland,physical,https://www.amazon.com/dp/0262081539?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
superintelligence-paths-dangers-strategies,FALSE,,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,physical,https://www.amazon.com/dp/0198739834?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
linear-algebra-done-right-undergraduate-texts-in-mathematics,FALSE,,Linear Algebra Done Right (Undergraduate Texts in Mathematics),Sheldon Axler,physical,https://www.amazon.com/dp/3031410254?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
gdel-escher-bach-an-eternal-golden-braid,FALSE,,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,physical,https://www.amazon.com/dp/0465026567?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
perceptrons-reissue-of-the-1988-expanded-edition-with-a-new-foreword-by-lon-bottou-an-introduction-to-computational-geometry-mit-press,FALSE,,"Perceptrons, Reissue of the 1988 Expanded Edition with a new foreword by Léon Bottou: An Introduction to Computational Geometry (Mit Press)","Marvin L. Minsky, Simon A. Papert",physical,https://www.amazon.com/dp/0262534770?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
constraint-processing-the-morgan-kaufmann-series-in-artificial-intelligence,FALSE,,Constraint Processing (The Morgan Kaufmann Series in Artificial Intelligence),Rina Dechter,physical,https://www.amazon.com/dp/1558608907?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
an-introduction-to-the-approximation-of-functions-dover-books-on-mathematics,FALSE,,An Introduction to the Approximation of Functions (Dover Books on Mathematics),Theodore J. Rivlin,physical,https://www.amazon.com/dp/0486640698?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
pattern-recognition-and-machine-learning,FALSE,,Pattern Recognition and Machine Learning,Christopher M. Bishop,physical,https://www.amazon.com/dp/0387310738?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
why-machines-learn-the-elegant-math-behind-modern-ai,FALSE,,Why Machines Learn: The Elegant Math Behind Modern AI,Anil Ananthaswamy,physical,https://www.amazon.com/dp/0593185749?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
infinite-powers-how-calculus-reveals-the-secrets-of-the-universe,FALSE,,Infinite Powers: How Calculus Reveals the Secrets of the Universe,Steven Strogatz,physical,https://www.amazon.com/dp/0358299284?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
bayesian-statistics-the-fun-way-understanding-statistics-and-probability-with-star-wars-lego-and-rubber-ducks,TRUE,,"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks",Will Kurt,physical,https://www.amazon.com/dp/1593279566?ref=ppx_yo2ov_dt_b_fed_asin_title,,,FALSE,,lec-library
